ct_uid,ct_name,municipality_code,municipality_name,apciq_sector_number,population_weight,population_in_sector,tract_population,weight_basis,assignment_method,neighbourhood_names,tract_is_shared,includes_corrected_point
4620391.00,0391.00,66023,Montréal,3,1.000000,1739,1739,population,borough_code,,False,False
4620392.00,0392.00,66023,Montréal,3,1.000000,1587,1587,population,borough_code,,False,False
4620393.00,0393.00,66023,Montréal,3,1.000000,6929,6929,population,borough_code,,False,False
4620394.00,0394.00,66023,Montréal,3,1.000000,4156,4156,population,borough_code,,False,False
4620395.01,0395.01,66023,Montréal,3,1.000000,2754,2754,population,borough_code,,False,False
4620395.02,0395.02,66023,Montréal,3,1.000000,6861,6861,population,borough_code,,False,False
4620395.03,0395.03,66023,Montréal,3,1.000000,4782,4782,population,borough_code,,False,False
4620396.00,0396.00,66023,Montréal,3,1.000000,6553,6553,population,borough_code,,False,False
4620397.00,0397.00,66023,Montréal,3,1.000000,3980,3980,population,borough_code,,False,False
4620067.00,0067.00,66023,Montréal,4,1.000000,1839,1839,population,borough_code,,False,False
4620068.00,0068.00,66023,Montréal,4,1.000000,1901,1901,population,borough_code,,False,False
4620069.02,0069.02,66023,Montréal,4,1.000000,4206,4206,population,borough_code,,False,False
4620070.02,0070.02,66023,Montréal,4,1.000000,5908,5908,population,borough_code,,False,False
4620071.00,0071.00,66023,Montréal,4,1.000000,0,0,dissemination_area_count,borough_code,,False,False
4620072.00,0072.00,66023,Montréal,4,1.000000,3634,3634,population,borough_code,,False,False
4620073.00,0073.00,66023,Montréal,4,1.000000,1936,1936,population,borough_code,,False,False
4620074.00,0074.00,66023,Montréal,4,1.000000,3631,3631,population,borough_code,,False,False
4620075.00,0075.00,66023,Montréal,4,1.000000,2675,2675,population,borough_code,,False,False
4620076.00,0076.00,66023,Montréal,4,1.000000,3305,3305,population,borough_code,,False,False
4620077.00,0077.00,66023,Montréal,4,1.000000,4025,4025,population,borough_code,,False,False
4620078.00,0078.00,66023,Montréal,4,1.000000,3955,3955,population,borough_code,,False,False
4620079.00,0079.00,66023,Montréal,4,1.000000,4579,4579,population,borough_code,,False,False
4620080.00,0080.00,66023,Montréal,4,1.000000,782,782,population,borough_code,,False,False
4620081.00,0081.00,66023,Montréal,4,1.000000,3553,3553,population,borough_code,,False,False
4620082.00,0082.00,66023,Montréal,4,1.000000,2186,2186,population,borough_code,,False,False
4620083.00,0083.00,66023,Montréal,4,1.000000,3406,3406,population,borough_code,,False,False
4620084.00,0084.00,66023,Montréal,4,1.000000,2793,2793,population,borough_code,,False,False
4620085.00,0085.00,66023,Montréal,4,1.000000,747,747,population,borough_code,,False,False
4620086.00,0086.00,66023,Montréal,4,1.000000,3934,3934,population,borough_code,,False,False
4620087.00,0087.00,66023,Montréal,4,1.000000,3221,3221,population,borough_code,,False,False
4620088.00,0088.00,66023,Montréal,4,1.000000,3585,3585,population,borough_code,,False,False
4620089.00,0089.00,66023,Montréal,4,1.000000,4916,4916,population,borough_code,,False,False
4620090.00,0090.00,66023,Montréal,4,1.000000,4589,4589,population,borough_code,,False,False
4620091.00,0091.00,66023,Montréal,4,1.000000,0,0,dissemination_area_count,borough_code,,False,False
4620092.00,0092.00,66023,Montréal,4,1.000000,5984,5984,population,borough_code,,False,False
4620093.00,0093.00,66023,Montréal,4,1.000000,3253,3253,population,borough_code,,False,False
4620094.02,0094.02,66023,Montréal,4,1.000000,10,10,population,borough_code,,False,False
4620300.00,0300.00,66023,Montréal,4,1.000000,2797,2797,population,neighbourhood_polygon,Verdun-Centre,False,False
4620301.00,0301.00,66023,Montréal,4,1.000000,5191,5191,population,neighbourhood_polygon,Verdun-Centre,False,False
