ref_date,geo,dguid,median_hh_total_income_2020,median_hh_total_income_2015,median_hh_aftertax_income_2020,median_hh_aftertax_income_2015,households_2021
2021,0340.00 - Montréal,2021S05074620340.00,127000,125000,101000,101000,1940
2021,0350.00 - Montréal,2021S05074620350.00,77500,68500,65500,58000,1165
2021,0351.00 - Montréal,2021S05074620351.00,82000,80000,68000,65500,2770
2021,0352.00 - Montréal,2021S05074620352.00,90000,81000,74000,65500,1250
2021,0353.00 - Montréal,2021S05074620353.00,149000,141000,115000,106000,1150
2021,0354.00 - Montréal,2021S05074620354.00,296000,292000,208000,214000,1005
2021,0355.00 - Montréal,2021S05074620355.00,178000,152000,138000,109000,595
2021,0356.00 - Montréal,2021S05074620356.00,360000,360000,240000,254000,660
2021,0360.00 - Montréal,2021S05074620360.00,274000,268000,190000,190000,690
2021,0361.00 - Montréal,2021S05074620361.00,66000,66000,58400,57600,760
2021,0362.00 - Montréal,2021S05074620362.00,166000,148000,128000,113000,815
2021,0363.00 - Montréal,2021S05074620363.00,95000,77000,79000,66000,1880
2021,0364.00 - Montréal,2021S05074620364.00,84000,65500,76500,59600,960
2021,0365.00 - Montréal,2021S05074620365.00,93000,81000,79000,69500,1270
2021,0366.00 - Montréal,2021S05074620366.00,117000,109000,94000,88000,1015
2021,0367.00 - Montréal,2021S05074620367.00,100000,100000,83000,80000,1850
2021,0370.00 - Montréal,2021S05074620370.00,150000,133000,118000,107000,2495
2021,0380.00 - Montréal,2021S05074620380.00,64000,57200,56000,50800,1925
2021,0381.00 - Montréal,2021S05074620381.00,56800,49600,52000,45200,2565
2021,0382.01 - Montréal,2021S05074620382.01,76000,73000,67000,64000,1695
2021,0382.02 - Montréal,2021S05074620382.02,104000,91000,91000,80000,1545
2021,0383.01 - Montréal,2021S05074620383.01,87000,80000,77500,70000,1275
2021,0383.02 - Montréal,2021S05074620383.02,73500,65500,64000,57200,4155
2021,0385.00 - Montréal,2021S05074620385.00,60400,53600,52000,47600,965
2021,0390.00 - Montréal,2021S05074620390.00,63200,50400,54400,43600,805
2021,0391.00 - Montréal,2021S05074620391.00,52000,43600,45600,39200,900
2021,0392.00 - Montréal,2021S05074620392.00,70500,60000,60000,51600,800
2021,0393.00 - Montréal,2021S05074620393.00,67000,59600,58400,52000,3285
2021,0394.00 - Montréal,2021S05074620394.00,59200,51600,52400,46000,2050
2021,0395.01 - Montréal,2021S05074620395.01,44800,33600,41600,32800,1155
2021,0395.02 - Montréal,2021S05074620395.02,58000,51600,51200,46000,3020
2021,0395.03 - Montréal,2021S05074620395.03,63600,59200,56000,50400,2405
2021,0396.00 - Montréal,2021S05074620396.00,78500,74000,67000,62800,2610
2021,0397.00 - Montréal,2021S05074620397.00,125000,106000,104000,87000,1425
2021,0400.00 - Montréal,2021S05074620400.00,127000,121000,102000,95000,2095
2021,0401.00 - Montréal,2021S05074620401.00,130000,119000,102000,93000,1160
2021,0402.00 - Montréal,2021S05074620402.00,82000,80000,69000,67000,855
2021,0403.00 - Montréal,2021S05074620403.00,129000,130000,105000,105000,1860
2021,0404.00 - Montréal,2021S05074620404.00,139000,132000,111000,104000,1765
2021,0410.01 - Montréal,2021S05074620410.01,72500,62400,63200,56000,2110
2021,0410.02 - Montréal,2021S05074620410.02,60800,53600,54000,46800,2705
2021,0410.03 - Montréal,2021S05074620410.03,86000,68000,76000,62000,575
2021,0412.00 - Montréal,2021S05074620412.00,78500,67000,69000,60000,2720
2021,0413.01 - Montréal,2021S05074620413.01,110000,103000,94000,86000,1375
2021,0413.02 - Montréal,2021S05074620413.02,69500,55600,62000,51600,1570
2021,0415.03 - Montréal,2021S05074620415.03,61200,52000,54400,47200,1800
2021,0415.04 - Montréal,2021S05074620415.04,61600,52800,54800,47200,2300
2021,0415.07 - Montréal,2021S05074620415.07,132000,136000,105000,106000,2810
2021,0415.08 - Montréal,2021S05074620415.08,102000,100000,83000,83000,1065
2021,0415.09 - Montréal,2021S05074620415.09,131000,125000,103000,101000,1075
2021,0415.10 - Montréal,2021S05074620415.10,120000,116000,97000,92000,1935
2021,0416.01 - Montréal,2021S05074620416.01,101000,89000,87000,76500,1400
2021,0416.02 - Montréal,2021S05074620416.02,78500,67000,72000,60000,1145
2021,0417.01 - Montréal,2021S05074620417.01,69500,59200,61600,54000,1915
2021,0417.02 - Montréal,2021S05074620417.02,68500,50400,62400,47600,895
2021,0418.00 - Montréal,2021S05074620418.00,65000,58000,56800,51600,2550
2021,0419.00 - Montréal,2021S05074620419.00,62000,47600,56400,44800,1685
2021,0420.00 - Montréal,2021S05074620420.00,82000,73000,73000,65000,1745
2021,0421.03 - Montréal,2021S05074620421.03,67000,52800,61200,49200,1135
