ct_uid,ct_dguid,ct_name,cma_uid,csd_uid,csd_name,mamh_code,blocks,population_2021,dwellings_2021,land_area_km2,has_income_2020
4620069.02,2021S05074620069.02,0069.02,462,2466023,Montréal,66023,15,4206,2923,0.2597,true
4620070.01,2021S05074620070.01,0070.01,462,2466023,Montréal,66023,33,3767,2876,0.2613,true
4620070.02,2021S05074620070.02,0070.02,462,2466023,Montréal,66023,39,5908,3994,0.3576,true
4620071.00,2021S05074620071.00,0071.00,462,2466023,Montréal,66023,12,0,1,0.4409,false
4620072.00,2021S05074620072.00,0072.00,462,2466023,Montréal,66023,44,3634,1973,2.5945,true
4620073.00,2021S05074620073.00,0073.00,462,2466023,Montréal,66023,19,1936,1199,0.3262,true
4620074.00,2021S05074620074.00,0074.00,462,2466023,Montréal,66023,23,3631,1835,0.4014,true
4620075.00,2021S05074620075.00,0075.00,462,2466023,Montréal,66023,20,2675,1491,0.3075,true
4620076.00,2021S05074620076.00,0076.00,462,2466023,Montréal,66023,19,3305,1929,0.3662,true
4620077.00,2021S05074620077.00,0077.00,462,2466023,Montréal,66023,22,4025,2213,0.4206,true
4620078.00,2021S05074620078.00,0078.00,462,2466023,Montréal,66023,28,3955,2276,0.3717,true
4620079.00,2021S05074620079.00,0079.00,462,2466023,Montréal,66023,41,4579,2817,0.5952,true
4620080.00,2021S05074620080.00,0080.00,462,2466023,Montréal,66023,7,782,434,0.0901,true
4620081.00,2021S05074620081.00,0081.00,462,2466023,Montréal,66023,18,3553,2353,0.2629,true
4620082.00,2021S05074620082.00,0082.00,462,2466023,Montréal,66023,15,2186,1233,0.2977,true
4620083.00,2021S05074620083.00,0083.00,462,2466023,Montréal,66023,23,3406,2039,0.4154,true
4620084.00,2021S05074620084.00,0084.00,462,2466023,Montréal,66023,16,2793,1492,0.3457,true
4620085.00,2021S05074620085.00,0085.00,462,2466023,Montréal,66023,36,747,387,1.1835,true
4620086.00,2021S05074620086.00,0086.00,462,2466023,Montréal,66023,27,3934,2144,0.527,true
4620087.00,2021S05074620087.00,0087.00,462,2466023,Montréal,66023,15,3221,1688,0.2627,true
4620088.00,2021S05074620088.00,0088.00,462,2466023,Montréal,66023,27,3585,2000,0.338,true
4620089.00,2021S05074620089.00,0089.00,462,2466023,Montréal,66023,28,4916,2584,0.526,true
4620090.00,2021S05074620090.00,0090.00,462,2466023,Montréal,66023,20,4589,2271,0.4356,true
4620091.00,2021S05074620091.00,0091.00,462,2466023,Montréal,66023,6,0,0,0.9908,false
4620092.00,2021S05074620092.00,0092.00,462,2466023,Montréal,66023,23,5984,2971,0.5584,true
4620093.00,2021S05074620093.00,0093.00,462,2466023,Montréal,66023,16,3253,1679,0.7339,true
4620094.01,2021S05074620094.01,0094.01,462,2466023,Montréal,66023,49,6306,3415,1.8074,true
4620094.02,2021S05074620094.02,0094.02,462,2466023,Montréal,66023,24,10,6,1.8959,false
4620095.00,2021S05074620095.00,0095.00,462,2466023,Montréal,66023,12,2147,1319,0.2193,true
4620096.00,2021S05074620096.00,0096.00,462,2466023,Montréal,66023,14,2370,1238,0.1903,true
4620097.01,2021S05074620097.01,0097.01,462,2466023,Montréal,66023,18,6174,3566,0.3488,true
4620097.02,2021S05074620097.02,0097.02,462,2466023,Montréal,66023,13,4133,2300,0.3883,true
4620098.00,2021S05074620098.00,0098.00,462,2466023,Montréal,66023,42,5466,2473,1.0374,true
4620099.00,2021S05074620099.00,0099.00,462,2466023,Montréal,66023,37,5742,2842,0.6914,true
4620100.01,2021S05074620100.01,0100.01,462,2466023,Montréal,66023,19,4147,2047,0.4581,true
4620100.02,2021S05074620100.02,0100.02,462,2466023,Montréal,66023,16,3442,1618,0.3556,true
4620101.01,2021S05074620101.01,0101.01,462,2466023,Montréal,66023,15,4082,2021,0.3535,true
4620101.02,2021S05074620101.02,0101.02,462,2466023,Montréal,66023,18,3728,1710,0.3587,true
4620102.00,2021S05074620102.00,0102.00,462,2466023,Montréal,66023,21,4254,2184,0.5899,true
