ct_uid,admin_name,admin_geography_type,places_touched,name_is_a_majority_call,population_in_place,tract_population,population_named_elsewhere,assignment_basis
4620220.00,Villeray-Saint-Michel-Parc-Extension,borough,1,False,5683,5683,0,population
4620221.00,Villeray-Saint-Michel-Parc-Extension,borough,1,False,6147,6147,0,population
4620222.00,Villeray-Saint-Michel-Parc-Extension,borough,1,False,3777,3777,0,population
4620223.01,Villeray-Saint-Michel-Parc-Extension,borough,1,False,4052,4052,0,population
4620223.02,Villeray-Saint-Michel-Parc-Extension,borough,1,False,3353,3353,0,population
4620224.00,Villeray-Saint-Michel-Parc-Extension,borough,1,False,6054,6054,0,population
4620225.00,Villeray-Saint-Michel-Parc-Extension,borough,1,False,1414,1414,0,population
4620226.00,Villeray-Saint-Michel-Parc-Extension,borough,1,False,2952,2952,0,population
4620227.00,Villeray-Saint-Michel-Parc-Extension,borough,1,False,1561,1561,0,population
4620228.00,Villeray-Saint-Michel-Parc-Extension,borough,1,False,1628,1628,0,population
4620229.00,Villeray-Saint-Michel-Parc-Extension,borough,1,False,0,0,0,dissemination_area_count
4620230.00,Villeray-Saint-Michel-Parc-Extension,borough,1,False,1858,1858,0,population
4620231.00,Villeray-Saint-Michel-Parc-Extension,borough,1,False,1612,1612,0,population
4620232.00,Villeray-Saint-Michel-Parc-Extension,borough,1,False,4674,4674,0,population
4620233.00,Villeray-Saint-Michel-Parc-Extension,borough,1,False,2011,2011,0,population
4620234.00,Villeray-Saint-Michel-Parc-Extension,borough,1,False,2144,2144,0,population
4620235.00,Villeray-Saint-Michel-Parc-Extension,borough,1,False,1872,1872,0,population
4620236.00,Villeray-Saint-Michel-Parc-Extension,borough,1,False,1776,1776,0,population
4620237.00,Villeray-Saint-Michel-Parc-Extension,borough,1,False,3418,3418,0,population
4620238.00,Villeray-Saint-Michel-Parc-Extension,borough,1,False,2338,2338,0,population
4620239.00,Villeray-Saint-Michel-Parc-Extension,borough,1,False,4606,4606,0,population
4620240.00,Villeray-Saint-Michel-Parc-Extension,borough,1,False,3118,3118,0,population
4620241.00,Villeray-Saint-Michel-Parc-Extension,borough,1,False,2791,2791,0,population
4620242.00,Villeray-Saint-Michel-Parc-Extension,borough,1,False,6077,6077,0,population
4620243.00,Villeray-Saint-Michel-Parc-Extension,borough,1,False,3677,3677,0,population
4620244.00,Villeray-Saint-Michel-Parc-Extension,borough,1,False,2064,2064,0,population
4620245.00,Villeray-Saint-Michel-Parc-Extension,borough,1,False,2883,2883,0,population
4620247.00,Rosemont-La Petite-Patrie,borough,1,False,2148,2148,0,population
4620249.00,Villeray-Saint-Michel-Parc-Extension,borough,1,False,4188,4188,0,population
4620250.00,Villeray-Saint-Michel-Parc-Extension,borough,1,False,3994,3994,0,population
4620251.01,Villeray-Saint-Michel-Parc-Extension,borough,1,False,3669,3669,0,population
4620251.02,Villeray-Saint-Michel-Parc-Extension,borough,1,False,2649,2649,0,population
4620252.00,Villeray-Saint-Michel-Parc-Extension,borough,1,False,5186,5186,0,population
4620253.00,Villeray-Saint-Michel-Parc-Extension,borough,1,False,3598,3598,0,population
4620254.00,Villeray-Saint-Michel-Parc-Extension,borough,1,False,4029,4029,0,population
4620256.00,Villeray-Saint-Michel-Parc-Extension,borough,1,False,3877,3877,0,population
4620257.00,Villeray-Saint-Michel-Parc-Extension,borough,1,False,4500,4500,0,population
4620258.00,Villeray-Saint-Michel-Parc-Extension,borough,1,False,5314,5314,0,population
4620259.00,Villeray-Saint-Michel-Parc-Extension,borough,1,False,6349,6349,0,population
4620260.00,Villeray-Saint-Michel-Parc-Extension,borough,1,False,2338,2338,0,population
4620261.00,Villeray-Saint-Michel-Parc-Extension,borough,1,False,2858,2858,0,population
4620262.00,Villeray-Saint-Michel-Parc-Extension,borough,1,False,4866,4866,0,population
4620263.00,Villeray-Saint-Michel-Parc-Extension,borough,1,False,4135,4135,0,population
4620264.01,Ahuntsic-Cartierville,borough,1,False,5369,5369,0,population
4620264.02,Ahuntsic-Cartierville,borough,1,False,5432,5432,0,population
4620265.00,Ahuntsic-Cartierville,borough,1,False,4561,4561,0,population
4620266.00,Ahuntsic-Cartierville,borough,1,False,3195,3195,0,population
4620267.00,Ahuntsic-Cartierville,borough,1,False,6463,6463,0,population
4620268.01,Ahuntsic-Cartierville,borough,1,False,6525,6525,0,population
4620268.02,Ahuntsic-Cartierville,borough,1,False,6170,6170,0,population
4620268.03,Ahuntsic-Cartierville,borough,1,False,489,489,0,population
4620269.00,Ahuntsic-Cartierville,borough,1,False,4521,4521,0,population
4620270.00,Ahuntsic-Cartierville,borough,1,False,4739,4739,0,population
4620271.00,Ahuntsic-Cartierville,borough,1,False,3477,3477,0,population
4620272.00,Ahuntsic-Cartierville,borough,1,False,3715,3715,0,population
4620273.00,Ahuntsic-Cartierville,borough,1,False,4752,4752,0,population
4620274.00,Ahuntsic-Cartierville,borough,1,False,3133,3133,0,population
4620275.00,Ahuntsic-Cartierville,borough,1,False,4158,4158,0,population
4620276.00,Ahuntsic-Cartierville,borough,1,False,5123,5123,0,population
4620277.00,Ahuntsic-Cartierville,borough,1,False,4350,4350,0,population
4620278.00,Ahuntsic-Cartierville,borough,1,False,4229,4229,0,population
4620279.00,Ahuntsic-Cartierville,borough,1,False,4954,4954,0,population
4620280.00,Ahuntsic-Cartierville,borough,1,False,4621,4621,0,population
4620281.00,Ahuntsic-Cartierville,borough,1,False,3756,3756,0,population
4620282.00,Ahuntsic-Cartierville,borough,1,False,6549,6549,0,population
4620283.01,Ahuntsic-Cartierville,borough,1,False,4058,4058,0,population
4620283.02,Ahuntsic-Cartierville,borough,1,False,2891,2891,0,population
4620284.00,Ahuntsic-Cartierville,borough,1,False,3489,3489,0,population
4620285.00,Ahuntsic-Cartierville,borough,1,False,6335,6335,0,population
4620286.00,Ahuntsic-Cartierville,borough,1,False,5433,5433,0,population
4620287.01,Ahuntsic-Cartierville,borough,1,False,6636,6636,0,population
4620287.02,Ahuntsic-Cartierville,borough,1,False,4740,4740,0,population
4620288.00,Ahuntsic-Cartierville,borough,1,False,1473,1473,0,population
4620290.01,Rivière-des-Prairies-Pointe-aux-Trembles,borough,1,False,2713,2713,0,population
4620290.02,Rivière-des-Prairies-Pointe-aux-Trembles,borough,1,False,5711,5711,0,population
4620290.03,Rivière-des-Prairies-Pointe-aux-Trembles,borough,1,False,4263,4263,0,population
4620290.04,Rivière-des-Prairies-Pointe-aux-Trembles,borough,1,False,6876,6876,0,population
4620290.05,Rivière-des-Prairies-Pointe-aux-Trembles,borough,1,False,5156,5156,0,population
4620290.06,Rivière-des-Prairies-Pointe-aux-Trembles,borough,1,False,5326,5326,0,population
4620290.07,Rivière-des-Prairies-Pointe-aux-Trembles,borough,1,False,4010,4010,0,population
4620290.08,Rivière-des-Prairies-Pointe-aux-Trembles,borough,1,False,4111,4111,0,population
4620290.09,Rivière-des-Prairies-Pointe-aux-Trembles,borough,1,False,4930,4930,0,population
4620291.01,Rivière-des-Prairies-Pointe-aux-Trembles,borough,1,False,3900,3900,0,population
4620291.03,Rivière-des-Prairies-Pointe-aux-Trembles,borough,1,False,5854,5854,0,population
4620291.04,Rivière-des-Prairies-Pointe-aux-Trembles,borough,1,False,5222,5222,0,population
4620300.00,Verdun,borough,1,False,2797,2797,0,population
4620301.00,Verdun,borough,1,False,5191,5191,0,population
4620302.00,Verdun,borough,1,False,2923,2923,0,population
4620303.00,Verdun,borough,1,False,2376,2376,0,population
4620304.00,Verdun,borough,1,False,3191,3191,0,population
4620305.00,Verdun,borough,1,False,3973,3973,0,population
4620306.00,Verdun,borough,1,False,2781,2781,0,population
4620307.00,Verdun,borough,1,False,3032,3032,0,population
4620308.00,Verdun,borough,1,False,2688,2688,0,population
4620309.00,Verdun,borough,1,False,1352,1352,0,population
4620310.00,Verdun,borough,1,False,3393,3393,0,population
4620311.00,Verdun,borough,1,False,4092,4092,0,population
4620312.00,Verdun,borough,1,False,3162,3162,0,population
4620313.00,Verdun,borough,1,False,3221,3221,0,population
4620314.00,Verdun,borough,1,False,2448,2448,0,population
4620315.00,Verdun,borough,1,False,15,15,0,population
4620316.00,Verdun,borough,1,False,2174,2174,0,population
4620317.03,Verdun,borough,1,False,4450,4450,0,population
4620317.05,Verdun,borough,1,False,3545,3545,0,population
4620317.06,Verdun,borough,1,False,4943,4943,0,population
